"artist_name","Valence","danceability","energy","loudness","speechiness","acousticness","liveness","tempo","track_name","album_name","album_release_year"
"Taylor Swift",0.685,0.757,0.61,-4.84,0.0327,0.00942,0.367,116.998,"Welcome To New York (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"Taylor Swift",0.701,0.733,0.733,-5.376,0.067,0.0885,0.168,96.057,"Blank Space (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"Taylor Swift",0.305,0.511,0.822,-4.785,0.0397,0.000421,0.0899,94.868,"Style (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"Taylor Swift",0.206,0.545,0.885,-5.968,0.0447,0.000537,0.385,92.021,"Out Of The Woods (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"Taylor Swift",0.52,0.588,0.721,-5.579,0.0317,0.000656,0.131,96.997,"All You Had To Do Was Stay (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"Taylor Swift",0.917,0.636,0.808,-5.693,0.0729,0.0121,0.359,160.058,"Shake It Off (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"Taylor Swift",0.539,0.67,0.858,-6.528,0.0439,0.00354,0.0687,118.009,"I Wish You Would (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"Taylor Swift",0.363,0.618,0.683,-6.438,0.194,0.0362,0.305,169.971,"Bad Blood (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"Taylor Swift",0.514,0.589,0.674,-7.48,0.0656,0.0436,0.112,139.985,"Wildest Dreams (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"Taylor Swift",0.538,0.758,0.691,-5.798,0.0515,0.00196,0.0939,119.997,"How You Get The Girl (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"Taylor Swift",0.0567,0.471,0.509,-8.796,0.0355,0.316,0.0673,144.071,"This Love (Taylor’s Version)","1989 (Taylor's Version) [Deluxe]",2023
"Taylor Swift",0.652,0.582,0.788,-5.358,0.0445,0.0999,0.115,160.027,"I Know Places (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"Taylor Swift",0.258,0.772,0.391,-8.892,0.0293,0.25,0.0981,103.955,"Clean (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"Taylor Swift",0.385,0.464,0.705,-5.97,0.0434,0.00976,0.209,183.892,"Wonderland (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"Taylor Swift",0.477,0.363,0.498,-9.473,0.0755,0.61,0.112,84.68,"You Are In Love (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"Taylor Swift",0.698,0.649,0.846,-5.958,0.0602,0.00675,0.0824,121.978,"New Romantics (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"Taylor Swift",0.328,0.591,0.412,-13.27,0.0863,0.309,0.0608,155.875,"""Slut!"" (Taylor's Version) (From The Vault)","1989 (Taylor's Version) [Deluxe]",2023
"Taylor Swift",0.164,0.633,0.551,-8.297,0.0341,0.066,0.127,109.95,"Say Don't Go (Taylor's Version) (From The Vault)","1989 (Taylor's Version) [Deluxe]",2023
"Taylor Swift",0.0831,0.8,0.501,-9.332,0.034,0.16,0.0874,110.013,"Now That We Don't Talk (Taylor's Version) (From The Vault)","1989 (Taylor's Version) [Deluxe]",2023
"Taylor Swift",0.323,0.701,0.625,-8.804,0.036,0.207,0.105,118.036,"Suburban Legends (Taylor's Version) (From The Vault)","1989 (Taylor's Version) [Deluxe]",2023
"Taylor Swift",0.191,0.595,0.656,-7.343,0.037,0.041,0.122,99.994,"Is It Over Now? (Taylor's Version) (From The Vault)","1989 (Taylor's Version) [Deluxe]",2023
"Taylor Swift",0.174,0.602,0.648,-6.905,0.103,0.0104,0.217,170.091,"Bad Blood (feat. Kendrick Lamar) (Taylor's Version)","1989 (Taylor's Version) [Deluxe]",2023
"Taylor Swift",0.674,0.761,0.607,-4.83,0.0312,0.00961,0.367,116.98,"Welcome To New York (Taylor's Version)","1989 (Taylor's Version)",2023
"Taylor Swift",0.755,0.737,0.725,-5.417,0.0641,0.0976,0.174,96.012,"Blank Space (Taylor's Version)","1989 (Taylor's Version)",2023
"Taylor Swift",0.292,0.575,0.824,-4.823,0.038,0.000418,0.0901,94.971,"Style (Taylor's Version)","1989 (Taylor's Version)",2023
"Taylor Swift",0.192,0.547,0.885,-5.961,0.0418,0.000512,0.39,91.992,"Out Of The Woods (Taylor's Version)","1989 (Taylor's Version)",2023
"Taylor Swift",0.481,0.586,0.72,-5.556,0.035,0.000718,0.0949,97.057,"All You Had To Do Was Stay (Taylor's Version)","1989 (Taylor's Version)",2023
"Taylor Swift",0.921,0.632,0.807,-5.676,0.0738,0.0103,0.29,160.055,"Shake It Off (Taylor's Version)","1989 (Taylor's Version)",2023
"Taylor Swift",0.541,0.669,0.851,-6.526,0.0432,0.00357,0.0676,118.026,"I Wish You Would (Taylor's Version)","1989 (Taylor's Version)",2023
"Taylor Swift",0.364,0.619,0.686,-6.369,0.164,0.0385,0.307,169.943,"Bad Blood (Taylor's Version)","1989 (Taylor's Version)",2023
"Taylor Swift",0.514,0.581,0.672,-7.415,0.0739,0.0411,0.118,140.061,"Wildest Dreams (Taylor's Version)","1989 (Taylor's Version)",2023
"Taylor Swift",0.547,0.754,0.682,-5.789,0.0565,0.00209,0.0941,120.027,"How You Get The Girl (Taylor's Version)","1989 (Taylor's Version)",2023
"Taylor Swift",0.0586,0.474,0.511,-8.766,0.0339,0.299,0.0673,144.022,"This Love (Taylor’s Version)","1989 (Taylor's Version)",2023
"Taylor Swift",0.68,0.575,0.803,-5.393,0.0465,0.087,0.0971,160.039,"I Know Places (Taylor's Version)","1989 (Taylor's Version)",2023
"Taylor Swift",0.239,0.771,0.386,-8.917,0.0297,0.276,0.121,103.96,"Clean (Taylor's Version)","1989 (Taylor's Version)",2023
"Taylor Swift",0.337,0.462,0.708,-5.971,0.0555,0.00933,0.198,183.811,"Wonderland (Taylor's Version)","1989 (Taylor's Version)",2023
"Taylor Swift",0.492,0.537,0.495,-9.416,0.0573,0.609,0.112,84.948,"You Are In Love (Taylor's Version)","1989 (Taylor's Version)",2023
"Taylor Swift",0.698,0.651,0.855,-5.959,0.0538,0.0068,0.0759,121.98,"New Romantics (Taylor's Version)","1989 (Taylor's Version)",2023
"Taylor Swift",0.306,0.629,0.413,-13.178,0.055,0.345,0.0603,77.983,"""Slut!"" (Taylor's Version) (From The Vault)","1989 (Taylor's Version)",2023
"Taylor Swift",0.192,0.626,0.547,-8.285,0.0342,0.0656,0.149,109.946,"Say Don't Go (Taylor's Version) (From The Vault)","1989 (Taylor's Version)",2023
"Taylor Swift",0.0662,0.793,0.512,-9.319,0.0338,0.186,0.0889,109.994,"Now That We Don't Talk (Taylor's Version) (From The Vault)","1989 (Taylor's Version)",2023
"Taylor Swift",0.344,0.699,0.621,-8.739,0.0369,0.198,0.104,118.048,"Suburban Legends (Taylor's Version) (From The Vault)","1989 (Taylor's Version)",2023
"Taylor Swift",0.176,0.596,0.658,-7.346,0.036,0.0504,0.127,100.012,"Is It Over Now? (Taylor's Version) (From The Vault)","1989 (Taylor's Version)",2023
