"artist_name","Valence","danceability","energy","loudness","speechiness","acousticness","liveness","tempo","track_name","album_name","album_release_year"
"Ed Sheeran",0.464,0.658,0.632,-8.492,0.0298,0.748,0.169,135.924,"Magical","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.52,0.622,0.666,-10.786,0.0423,0.641,0.513,126.934,"England","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.374,0.809,0.664,-7.265,0.0373,0.429,0.131,116.996,"Amazing","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.384,0.713,0.727,-6.551,0.0528,0.621,0.0751,120.016,"Plastic Bag","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.414,0.668,0.314,-8.275,0.0298,0.888,0.222,78.019,"Blue","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.715,0.74,0.652,-5.668,0.0601,0.736,0.348,105.025,"American Town","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.575,0.822,0.696,-6.275,0.114,0.634,0.0624,106.995,"That’s On Me","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.62,0.774,0.604,-6.385,0.0404,0.623,0.0889,146.081,"Page","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.685,0.555,0.824,-5.843,0.0591,0.425,0.082,178.034,"Midnight","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.667,0.644,0.317,-11.565,0.0317,0.923,0.104,96.081,"Spring","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.616,0.534,0.407,-7.994,0.0261,0.844,0.113,154.059,"Punchline","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.488,0.614,0.244,-9.345,0.0301,0.935,0.112,126.381,"When Will I Be Alright","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.725,0.6,0.667,-5.504,0.0443,0.657,0.327,135.083,"The Day I Was Born","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.347,0.711,0.328,-9.172,0.0592,0.759,0.116,77.539,"Head > Heels","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.484,0.54,0.257,-8.223,0.0312,0.807,0.11,80.298,"Magical - Live from Brantlie’s Living Room","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.382,0.685,0.325,-6.706,0.0429,0.871,0.105,131.851,"England - Live from Maynard’s Living Room","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.925,0.911,0.353,-5.083,0.056,0.699,0.146,127.15,"Amazing - Live from Kia’s Living Room","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.534,0.722,0.274,-6.234,0.0414,0.872,0.112,126.456,"Plastic Bag - Live from Alex’s Living Room","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.389,0.441,0.319,-7.085,0.0351,0.893,0.241,168.399,"Blue - Live from Sarom’s Living Room","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.631,0.606,0.475,-4.255,0.045,0.813,0.102,106.149,"American Town - Live from Kari’s Living Room","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.776,0.685,0.665,-5.445,0.0877,0.748,0.0533,113.777,"That’s On Me - Live from Narine’s Living Room","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.353,0.479,0.416,-4.782,0.0371,0.883,0.0843,78.837,"Page - Live from Deborah’s Living Room","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.479,0.606,0.317,-7.322,0.044,0.881,0.117,99.691,"Midnight - Live from John’s Living Room","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.366,0.555,0.235,-10.655,0.036,0.908,0.103,102.194,"Spring - Live from Emily’s Living Room","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.414,0.639,0.407,-5.581,0.0306,0.836,0.0876,84.575,"Punchline - Live from Holly’s Living Room","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.362,0.584,0.215,-8.765,0.0335,0.943,0.0962,132.456,"When Will I Be Alright - Live from Kristen’s Living Room","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.607,0.674,0.472,-4.707,0.0421,0.777,0.217,77.027,"The Day I Was Born - Live from Danielle’s Living Room","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.354,0.693,0.139,-6.6,0.0414,0.92,0.0928,80.305,"Head > Heels - Live from Keira’s Living Room","Autumn Variations (Fan Living Room Sessions)",2023
"Ed Sheeran",0.464,0.658,0.632,-8.492,0.0298,0.748,0.169,135.924,"Magical","Autumn Variations",2023
"Ed Sheeran",0.52,0.622,0.666,-10.786,0.0423,0.641,0.513,126.934,"England","Autumn Variations",2023
"Ed Sheeran",0.374,0.809,0.664,-7.265,0.0373,0.429,0.131,116.996,"Amazing","Autumn Variations",2023
"Ed Sheeran",0.384,0.713,0.727,-6.551,0.0528,0.621,0.0751,120.016,"Plastic Bag","Autumn Variations",2023
"Ed Sheeran",0.414,0.668,0.314,-8.275,0.0298,0.888,0.222,78.019,"Blue","Autumn Variations",2023
"Ed Sheeran",0.715,0.74,0.652,-5.668,0.0601,0.736,0.348,105.025,"American Town","Autumn Variations",2023
"Ed Sheeran",0.575,0.822,0.696,-6.275,0.114,0.634,0.0624,106.995,"That’s On Me","Autumn Variations",2023
"Ed Sheeran",0.62,0.774,0.604,-6.385,0.0404,0.623,0.0889,146.081,"Page","Autumn Variations",2023
"Ed Sheeran",0.685,0.555,0.824,-5.843,0.0591,0.425,0.082,178.034,"Midnight","Autumn Variations",2023
"Ed Sheeran",0.667,0.644,0.317,-11.565,0.0317,0.923,0.104,96.081,"Spring","Autumn Variations",2023
"Ed Sheeran",0.616,0.534,0.407,-7.994,0.0261,0.844,0.113,154.059,"Punchline","Autumn Variations",2023
"Ed Sheeran",0.488,0.614,0.244,-9.345,0.0301,0.935,0.112,126.381,"When Will I Be Alright","Autumn Variations",2023
"Ed Sheeran",0.725,0.6,0.667,-5.504,0.0443,0.657,0.327,135.083,"The Day I Was Born","Autumn Variations",2023
"Ed Sheeran",0.347,0.711,0.328,-9.172,0.0592,0.759,0.116,77.539,"Head > Heels","Autumn Variations",2023
"Ed Sheeran",0.325,0.47,0.203,-8.676,0.0371,0.758,0.312,153.578,"Boat","- (Deluxe)",2023
"Ed Sheeran",0.279,0.584,0.374,-9.224,0.0337,0.617,0.0694,147.084,"Salt Water","- (Deluxe)",2023
"Ed Sheeran",0.309,0.793,0.52,-7.457,0.0696,0.246,0.0878,107.014,"Eyes Closed","- (Deluxe)",2023
"Ed Sheeran",0.456,0.629,0.312,-7.609,0.0318,0.813,0.169,77.044,"Life Goes On","- (Deluxe)",2023
"Ed Sheeran",0.616,0.711,0.55,-9.682,0.0332,0.226,0.12,146.928,"Dusty","- (Deluxe)",2023
"Ed Sheeran",0.316,0.663,0.436,-7.81,0.0359,0.488,0.116,143.197,"End Of Youth","- (Deluxe)",2023
"Ed Sheeran",0.156,0.428,0.296,-8.731,0.0396,0.85,0.0767,169.744,"Colourblind","- (Deluxe)",2023
